,Market Cap,Income,Sales,Dividend,Dividend %,Employees,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,ROE,ROI,EPS Q/Q,Insider Own,Insider Trans,Inst Own
MMM,97.39B,5.13B,31.35B,5.88,3.44%,96163,9.08,19.38,18.61,5.86,1.91,8.82,9.19,2.27,-14.90%,3.31%,0.90%,49.20%,16.40%,15.50%,0.18%,-4.92%,67.30%
ABT,190.01B,3.08B,31.44B,1.44,1.31%,107000,6.36,63.43,26.22,4.26,0.64,1.73,4.18,0.90,45.20%,14.90%,12.40%,10.10%,8.20%,-46.70%,0.70%,-2.93%,75.40%
ABBV,150.42B,6.91B,36.23B,4.72,5.47%,47000,9.66,18.98,7.11,2.02,5.94,4.55,12.13,2.77,42.30%,9.38%,36.80%,-303.40%,21.20%,-192.90%,0.10%,-5.21%,70.90%
ABMD,12.77B,158.70M,798.10M,-,-,1536,11.70,82.35,54.16,3.43,0.00,3.48,5.29,0.92,-21.00%,24.00%,10.80%,15.10%,17.90%,-49.20%,1.40%,-17.29%,98.00%
ACN,145.54B,5.11B,44.33B,3.52,1.53%,492000,9.14,29.02,25.96,3.05,0.00,7.93,8.86,2.05,11.30%,9.52%,10.30%,32.60%,33.90%,-1.20%,0.10%,-6.84%,77.30%
ATVI,62.02B,1.81B,6.99B,0.41,0.51%,9200,4.54,34.41,24.04,1.41,0.20,2.34,3.35,0.64,-0.30%,24.41%,11.60%,14.00%,9.50%,75.50%,0.70%,-7.87%,90.70%
ADBE,240.41B,3.86B,12.44B,-,-,22634,20.61,63.30,45.04,3.63,0.35,7.94,11.16,2.66,7.80%,17.42%,62.70%,35.40%,20.60%,22.00%,0.10%,-22.51%,87.00%
AMD,97.60B,596.00M,7.65B,-,-,11400,29.49,165.35,49.92,4.62,0.21,0.50,1.67,0.35,-11.00%,35.83%,20.70%,21.50%,12.40%,305.40%,0.60%,-16.89%,73.20%
AAP,10.89B,453.10M,9.62B,1.00,0.65%,39000,2.87,23.86,16.91,2.01,0.00,6.50,9.17,2.58,21.10%,11.90%,0.40%,12.70%,12.30%,58.10%,0.40%,2.36%,-
AES,13.21B,190.00M,9.61B,0.57,2.86%,21000,5.38,70.07,12.89,9.16,8.68,0.28,1.54,0.46,-70.60%,7.65%,-14.20%,6.90%,6.60%,-639.10%,0.37%,68.37%,95.40%
AFL,26.56B,2.93B,21.74B,1.12,3.01%,10977,0.91,9.30,8.25,3.68,0.26,4.00,4.51,1.13,16.70%,2.53%,6.40%,10.30%,10.00%,2.50%,0.10%,-3.57%,61.80%
A,32.47B,691.00M,5.22B,0.72,0.67%,16300,6.62,48.22,29.08,5.13,0.47,2.21,3.67,0.93,26.10%,9.40%,37.50%,14.30%,15.20%,5.50%,0.40%,-12.33%,90.40%
APD,65.38B,1.92B,8.82B,5.36,1.80%,17440,5.66,34.56,30.27,3.34,0.70,8.63,9.85,2.22,2.90%,10.33%,11.30%,16.70%,11.50%,-9.30%,0.25%,0.00%,85.90%
AKAM,17.74B,542.10M,3.04B,-,-,7724,4.61,33.55,20.22,3.33,0.00,3.30,5.48,1.23,63.00%,10.08%,9.50%,14.70%,9.00%,42.40%,0.10%,-30.51%,93.10%
ALK,4.70B,57.00M,6.67B,-,-,24134,1.26,93.91,222.32,-,0.68,0.42,0.18,-2.95,75.50%,-14.81%,6.90%,1.40%,14.00%,-182.30%,0.20%,-3.35%,75.50%
ALB,10.04B,438.30M,3.38B,1.54,1.65%,6000,2.47,22.68,22.14,1.51,0.88,4.12,4.22,0.78,-18.30%,15.00%,14.40%,11.20%,7.60%,-44.60%,0.20%,-49.31%,93.10%
ARE,20.42B,395.70M,1.68B,4.24,2.62%,439,2.14,49.57,59.36,495.75,0.80,3.27,2.73,0.61,-11.50%,0.10%,25.70%,4.50%,2.40%,166.00%,1.20%,-15.29%,-
ALXN,26.75B,846.10M,5.54B,-,-,3082,2.61,33.25,9.92,2.70,0.23,3.73,12.51,2.58,6.90%,12.32%,26.80%,7.70%,16.90%,-337.60%,0.10%,-3.08%,93.90%
ALGN,26.52B,1.70B,2.16B,-,-,14530,9.32,15.64,49.03,1.21,0.00,21.51,6.86,0.58,12.40%,12.91%,25.50%,81.50%,32.00%,-128.20%,0.60%,-23.70%,89.60%
ALLE,9.67B,286.40M,2.73B,1.28,1.22%,11000,14.30,34.30,23.88,-,2.11,3.06,4.40,1.20,-1.30%,-0.80%,17.30%,41.90%,21.10%,-31.30%,0.10%,-5.54%,98.80%
LNT,13.62B,641.90M,3.55B,1.52,2.77%,3597,2.47,20.82,21.26,3.78,1.22,2.64,2.58,0.90,7.50%,5.50%,6.00%,12.10%,6.00%,35.40%,0.18%,0.00%,76.60%
ALL,28.64B,4.33B,43.83B,2.16,2.33%,45780,1.16,6.94,7.88,1.27,0.27,13.34,11.75,1.63,149.80%,5.46%,17.50%,18.40%,16.00%,58.40%,0.20%,-53.67%,79.50%
GOOGL,1059.20B,31.53B,166.03B,-,-,127498,5.16,35.46,27.64,7.37,0.02,44.22,56.71,11.20,12.50%,4.81%,19.90%,15.60%,14.10%,-33.20%,0.14%,0.00%,80.70%
GOOG,1079.82B,-,166.03B,-,-,127498,5.17,34.58,27.87,7.19,-,45.49,56.44,11.09,-10.00%,4.81%,-,-,-,-30.00%,5.75%,0.00%,70.62%
MO,73.78B,-879.00M,25.59B,3.44,8.70%,7300,12.92,-,8.67,-,5.11,-0.46,4.56,1.15,-117.20%,6.10%,-17.70%,-12.70%,-5.00%,-3.20%,0.10%,0.00%,63.70%
AMZN,1672.29B,13.18B,321.78B,-,-,876800,22.19,125.80,73.75,3.49,0.69,26.02,44.38,7.25,15.90%,36.03%,115.10%,20.50%,11.70%,97.40%,10.90%,-1.82%,59.50%
AMCR,17.99B,619.90M,12.47B,0.46,4.00%,47000,3.91,29.64,15.50,5.44,1.35,0.39,0.74,0.15,6.70%,5.45%,-7.00%,12.20%,7.40%,79.90%,0.10%,-9.29%,36.60%
AEE,20.05B,847.00M,5.81B,2.06,2.50%,9323,2.47,24.10,21.89,4.02,1.29,3.42,3.76,1.52,1.10%,6.00%,6.90%,10.40%,6.10%,35.40%,0.30%,0.00%,80.40%
AAL,6.22B,-3469.00M,33.36B,-,-,133000,-,-,-,-,-,-8.17,-4.29,-5.88,25.20%,-,-0.70%,240.80%,10.30%,-424.50%,1.10%,0.00%,56.60%
AEP,44.43B,1.90B,15.17B,2.80,3.06%,17408,2.26,23.83,19.69,4.41,1.59,3.84,4.65,1.46,0.10%,5.40%,3.60%,9.60%,5.30%,12.50%,0.10%,-4.25%,76.40%
AXP,84.08B,3.96B,41.68B,1.72,1.64%,59000,4.00,21.72,15.47,2.31,6.42,4.83,6.78,1.34,9.10%,9.40%,7.50%,17.90%,4.20%,-85.70%,0.10%,-0.35%,86.50%
AIG,25.81B,-4672.00M,48.63B,1.28,4.23%,46000,0.43,-,7.02,-,0.00,-5.47,4.31,0.69,-47.50%,4.59%,-6.80%,-7.30%,5.50%,-837.10%,0.10%,1.41%,92.30%
AMT,106.28B,1.92B,7.78B,4.33,1.78%,5454,29.75,56.30,47.16,3.71,6.96,4.31,5.15,1.10,53.00%,15.18%,16.20%,43.80%,9.20%,3.80%,0.20%,-4.93%,93.90%
AWK,28.24B,638.00M,3.69B,2.20,1.41%,6800,4.45,44.18,36.85,5.32,1.67,3.53,4.23,1.38,6.70%,8.30%,7.50%,10.30%,6.10%,3.50%,0.20%,-3.13%,87.60%
AMP,20.56B,2.50B,12.21B,4.16,2.45%,12500,3.27,8.88,9.28,0.98,3.17,19.13,18.31,2.18,-1.90%,9.11%,10.90%,40.20%,8.40%,-220.90%,0.10%,-8.25%,88.20%
ABC,20.28B,1.57B,186.29B,1.68,1.69%,22000,5.25,13.15,11.79,1.61,1.07,7.57,8.44,1.85,-18.60%,8.17%,26.40%,47.30%,13.00%,-1.50%,0.10%,-45.73%,67.60%
AME,25.03B,888.40M,4.80B,0.72,0.66%,18100,4.59,28.47,26.29,-,0.52,3.86,4.18,0.93,14.00%,-1.20%,9.70%,17.10%,12.30%,-23.20%,0.40%,-15.93%,88.80%
AMGN,137.64B,7.30B,24.30B,6.40,2.72%,23400,13.00,19.26,13.98,2.82,3.21,12.24,16.87,3.80,2.00%,6.84%,14.00%,71.70%,21.20%,-14.70%,0.20%,-0.48%,78.10%
APH,34.12B,1.10B,8.10B,1.00,0.87%,74000,7.21,32.10,28.57,10.70,0.79,3.59,4.03,0.87,-9.20%,3.00%,11.10%,24.70%,15.60%,-9.30%,0.20%,-62.11%,97.20%
ADI,45.82B,1.11B,5.52B,2.48,2.01%,16400,3.87,41.38,22.30,4.90,0.47,2.99,5.55,1.32,-12.10%,8.45%,13.00%,9.50%,9.20%,0.60%,0.10%,-21.83%,87.80%
ANSS,30.17B,397.90M,1.52B,-,-,4100,8.71,76.22,50.62,10.74,0.12,4.59,6.91,1.26,6.90%,7.10%,14.10%,12.10%,11.20%,-13.10%,0.20%,-3.50%,95.20%
ANTM,74.17B,5.92B,113.04B,3.80,1.28%,70600,2.17,12.89,11.69,0.89,0.62,23.02,25.39,4.15,31.10%,14.52%,15.60%,18.30%,10.70%,104.20%,0.10%,-21.30%,92.20%
AON,49.25B,1.77B,10.98B,1.84,0.86%,50000,13.76,28.35,19.93,3.98,2.25,7.51,10.68,1.49,37.10%,7.13%,6.40%,51.80%,17.40%,49.00%,0.20%,16.98%,93.77%
AOS,9.01B,298.10M,2.78B,1.04,1.88%,15100,5.38,30.44,24.22,3.80,0.17,1.82,2.29,0.52,-14.00%,8.00%,14.20%,18.10%,19.00%,-31.20%,0.30%,-28.59%,-
APA,3.68B,-8012.00M,5.16B,0.10,1.07%,3163,-,-,-,-,-,-21.22,-0.07,-0.36,-,-,1.00%,-480.10%,-28.30%,-6.90%,0.46%,0.00%,88.50%
AIV,5.25B,181.20M,903.20M,1.64,4.77%,950,3.01,28.21,-,3.97,2.88,1.22,-0.14,-0.01,-27.40%,7.10%,8.20%,10.50%,2.50%,-33.80%,0.84%,0.00%,-
AAPL,2064.45B,58.42B,273.86B,0.82,0.69%,137000,28.41,36.19,30.72,2.87,1.57,3.29,3.87,0.71,-2.60%,12.60%,13.00%,70.70%,26.90%,18.40%,0.07%,-6.31%,62.10%
AMAT,58.00B,3.19B,16.27B,0.88,1.40%,22000,6.02,18.30,13.73,0.91,0.57,3.44,4.59,1.17,-29.80%,20.08%,26.70%,35.90%,20.40%,49.70%,0.36%,-0.70%,83.70%
APTV,26.37B,1.68B,12.34B,-,-,141000,3.65,14.95,27.02,6.70,0.60,6.57,3.63,0.72,-7.00%,2.23%,-2.40%,34.80%,13.80%,-234.30%,0.10%,-3.93%,98.70%
ADM,27.75B,1.81B,64.31B,1.44,2.89%,38100,1.45,15.49,14.55,-,0.48,3.22,3.42,0.69,-19.90%,-8.80%,-6.00%,9.30%,4.20%,118.70%,0.30%,-9.33%,80.40%
ANET,17.20B,752.60M,2.27B,-,-,2300,5.63,24.00,23.40,3.57,0.00,9.39,9.63,2.21,157.20%,6.73%,52.50%,26.30%,27.80%,-21.50%,0.10%,-81.71%,65.90%
AJG,20.71B,704.70M,7.00B,1.80,1.65%,33300,3.78,29.75,23.91,2.61,0.85,3.66,4.55,0.92,2.00%,11.42%,12.30%,14.10%,9.20%,27.60%,0.20%,-10.68%,86.10%
AIZ,7.34B,307.60M,10.14B,2.52,2.04%,14200,1.25,25.33,11.59,1.31,0.37,4.87,10.66,1.48,45.90%,19.40%,-1.90%,6.80%,8.60%,28.20%,0.40%,0.00%,97.60%
T,195.58B,11.90B,175.14B,2.08,7.61%,243000,1.11,16.68,8.48,57.93,0.96,1.64,3.22,0.76,-30.90%,0.29%,8.90%,6.60%,7.00%,-66.00%,0.08%,2.52%,54.70%
ATO,11.66B,594.10M,2.79B,2.30,2.43%,4776,1.80,19.49,18.81,2.69,0.70,4.85,5.02,0.51,8.80%,7.25%,8.00%,11.60%,6.20%,40.90%,0.50%,0.98%,91.70%
ADSK,55.26B,372.80M,3.54B,-,-,10100,838.61,155.21,48.67,4.40,24.31,1.68,5.34,0.95,327.80%,35.26%,23.40%,-379.90%,14.00%,144.50%,0.20%,-14.60%,94.50%
ADP,63.35B,2.46B,14.59B,3.64,2.45%,58000,11.07,26.11,24.89,2.47,0.35,5.68,5.96,0.98,8.50%,10.57%,14.50%,44.90%,30.80%,-13.60%,0.10%,-27.30%,81.50%
AZO,27.88B,1.73B,12.63B,-,-,55680,-,16.56,14.31,3.01,-,72.07,83.37,17.40,50.90%,5.50%,14.80%,-94.90%,50.50%,20.70%,0.10%,-44.94%,93.70%
AVB,21.56B,784.20M,2.36B,6.36,4.27%,3122,1.92,26.64,37.30,10.49,0.70,5.59,3.99,0.96,-20.10%,2.54%,2.70%,7.20%,3.40%,0.70%,0.10%,0.00%,94.70%
AVY,11.09B,521.00M,6.79B,2.32,1.73%,30000,9.20,21.72,20.04,2.73,1.87,6.17,6.69,1.53,-32.80%,7.96%,6.70%,44.80%,9.80%,-43.60%,0.50%,-2.53%,91.10%
BKR,13.90B,-10306.00M,22.39B,0.72,5.48%,60000,0.49,-,28.82,-,0.44,-15.76,0.46,0.04,12.00%,3.17%,-43.30%,-39.60%,1.40%,-,0.10%,7.22%,96.50%
BLL,29.66B,369.00M,11.26B,0.60,0.66%,18300,10.79,83.11,28.65,7.73,2.78,1.10,3.19,0.77,15.20%,10.75%,0.20%,12.60%,8.00%,-50.90%,0.40%,-6.42%,86.80%
BAC,209.24B,18.01B,57.05B,0.72,2.97%,213000,0.87,11.98,11.96,-,0.00,2.02,2.03,0.51,5.60%,-0.17%,45.50%,9.30%,6.00%,-49.60%,0.10%,0.00%,72.50%
BK,32.98B,4.23B,6.18B,1.24,3.26%,48300,0.86,8.20,9.89,4.88,0.75,4.64,3.84,0.87,14.60%,1.68%,15.90%,11.30%,3.20%,-0.10%,0.10%,-8.72%,85.00%
BAX,40.78B,730.00M,11.41B,0.98,1.20%,50000,5.12,58.40,22.29,5.84,0.78,1.40,3.67,0.73,-36.90%,10.00%,13.20%,11.80%,6.50%,-21.10%,0.10%,-27.23%,89.10%
BDX,68.12B,791.00M,16.92B,3.16,1.33%,70093,2.79,83.45,18.89,13.04,0.78,2.84,12.54,2.53,24.40%,6.40%,-8.90%,3.60%,4.30%,-21.40%,0.10%,-1.14%,86.80%
BRK.B,,,,,,,,,,,,,,,,,,,,,,,
BBY,31.21B,1.63B,43.43B,2.20,1.84%,125000,8.20,19.33,16.80,2.61,0.35,6.17,7.10,1.58,8.80%,7.40%,10.30%,47.20%,32.80%,86.60%,0.50%,-66.07%,82.30%
BIO,16.29B,1.95B,2.29B,-,-,8120,2.24,8.63,54.81,0.49,0.06,64.47,10.15,1.80,456.30%,17.80%,80.40%,31.70%,-4.50%,61.90%,1.90%,-3.00%,78.90%
BIIB,44.43B,5.93B,14.49B,-,-,7400,3.98,8.20,9.34,-,0.66,34.14,29.98,8.08,44.80%,-2.95%,20.50%,46.30%,30.50%,22.10%,0.10%,0.00%,88.00%
BLK,98.55B,4.44B,15.03B,14.52,2.21%,16300,3.09,23.14,19.00,2.33,0.22,28.40,34.60,8.40,6.90%,9.92%,8.10%,13.50%,11.10%,22.30%,1.50%,-93.86%,87.50%
BA,92.71B,-2848.00M,69.26B,-,-,161100,-,-,44.05,-,-,-5.04,3.80,-2.31,-106.30%,12.33%,-16.60%,33.40%,-1.90%,19.50%,0.13%,0.16%,54.10%
BKNG,69.70B,2.54B,11.30B,-,-,26400,17.07,28.17,24.89,12.81,2.90,59.20,67.00,14.43,35.40%,2.20%,19.50%,51.60%,29.10%,-86.70%,0.20%,0.00%,96.10%
BWA,8.13B,445.00M,8.76B,0.68,1.76%,29000,1.73,17.96,11.14,4.59,0.66,2.15,3.47,0.73,-15.30%,3.92%,5.30%,9.60%,12.90%,-157.20%,0.40%,-16.57%,96.45%
BXP,12.37B,1.01B,2.91B,3.92,5.05%,760,2.02,11.91,31.29,1.70,2.22,6.52,2.48,0.56,-10.80%,7.00%,3.20%,17.80%,5.70%,61.70%,0.14%,11.14%,98.40%
BSX,55.80B,-122.00M,10.16B,-,-,36000,3.47,-,23.05,-,0.61,-0.09,1.67,0.25,-63.00%,8.63%,46.40%,30.00%,6.00%,-199.20%,0.10%,-14.23%,94.00%
BMY,136.18B,-563.00M,34.86B,1.80,2.94%,30000,2.82,-,8.27,-,0.95,-0.10,7.40,1.49,-33.90%,22.15%,10.90%,-1.30%,5.50%,-104.30%,0.10%,-8.46%,76.20%
AVGO,153.68B,2.23B,23.20B,13.00,3.43%,19000,6.48,70.97,14.90,8.98,1.87,5.34,25.42,6.24,-44.30%,7.90%,41.00%,9.20%,6.80%,-14.80%,0.20%,-55.75%,83.60%
BR,16.55B,462.50M,4.53B,2.30,1.60%,12000,12.24,36.19,23.94,3.62,1.33,3.96,5.99,0.63,-2.70%,10.00%,11.30%,38.40%,16.20%,26.10%,0.60%,-48.72%,88.90%
BF.B,,,,,,,,,,,,,,,,,,,,,,,
CHRW,14.17B,468.10M,15.08B,2.04,2.04%,15338,7.94,29.20,23.52,7.08,0.67,3.43,4.26,0.97,-11.90%,4.13%,6.60%,28.20%,20.90%,-13.30%,0.60%,-11.37%,96.90%
COG,7.76B,321.60M,1.61B,0.40,2.09%,274,3.52,24.18,10.96,0.93,0.56,0.79,1.74,0.07,33.80%,26.12%,45.50%,14.80%,21.80%,-82.30%,0.20%,-9.69%,97.40%
CDNS,32.33B,1.02B,2.44B,-,-,8100,14.02,31.85,42.02,2.33,0.31,3.63,2.75,0.61,187.80%,13.70%,46.80%,50.80%,40.90%,23.30%,0.80%,-23.11%,89.80%
CPB,14.86B,592.00M,8.69B,1.40,2.86%,14500,5.76,25.11,16.27,2.91,2.42,1.95,3.01,0.90,23.60%,8.64%,-1.80%,73.40%,11.30%,212.00%,0.20%,-0.99%,51.40%
COF,35.87B,-119.00M,27.77B,0.40,0.50%,53100,0.71,-,10.27,-,0.87,-0.38,7.71,2.19,-6.90%,8.00%,7.80%,-0.20%,15.50%,-168.50%,0.10%,-6.46%,90.40%
CAH,14.31B,-3696.00M,152.92B,1.94,3.98%,48000,7.99,-,8.21,-,3.79,-12.45,5.94,1.13,-378.60%,4.66%,-40.60%,-302.30%,-47.10%,243.90%,0.30%,0.00%,88.50%
KMX,15.28B,689.80M,18.35B,-,-,27050,3.85,22.54,16.69,1.92,3.86,4.16,5.62,1.16,11.20%,11.75%,14.30%,18.40%,4.60%,28.30%,0.30%,-61.72%,-
CCL,11.95B,-7590.00M,10.34B,-,-,104000,0.56,-,-,-,1.28,-10.28,-3.88,-1.87,-2.70%,-,22.60%,-33.70%,8.70%,-243.20%,0.10%,1.19%,54.70%
CARR,28.24B,1.54B,17.15B,0.32,0.98%,52635,7.05,18.44,18.45,-,2.99,1.78,1.78,0.47,-22.60%,-8.66%,-,-,14.00%,-66.70%,-,-,85.00%
CTLT,15.13B,173.00M,3.09B,-,-,13900,4.98,84.46,32.99,7.28,1.04,1.09,2.80,0.38,20.60%,11.60%,-8.30%,8.20%,5.70%,72.70%,0.40%,-27.63%,99.09%
CAT,89.37B,4.13B,46.53B,4.12,2.44%,102300,6.65,22.73,22.86,-,2.81,7.43,7.38,1.15,3.40%,-2.14%,21.70%,28.80%,12.20%,-70.80%,0.10%,-3.84%,68.50%
CBOE,9.12B,-,3.06B,1.68,2.00%,823,2.99,18.42,16.88,7.71,-,4.56,4.97,1.07,9.10%,2.39%,21.47%,-,-,28.70%,0.52%,0.00%,85.96%
CBRE,16.44B,1.15B,24.32B,-,-,100000,2.61,14.40,15.89,1.31,0.49,3.38,3.06,0.42,20.00%,11.00%,21.00%,19.00%,13.10%,-63.10%,0.60%,-7.88%,98.10%
CDW,18.52B,744.30M,18.20B,1.52,1.16%,9900,17.63,25.59,20.51,2.81,3.69,5.11,6.37,1.50,19.40%,9.10%,28.60%,77.50%,22.20%,-1.10%,0.30%,-2.86%,93.00%
CE,14.14B,645.00M,5.67B,2.48,2.06%,7714,5.71,22.52,13.22,13.24,1.62,5.33,9.08,1.70,-22.60%,1.70%,11.20%,24.80%,11.10%,-44.50%,0.20%,-0.63%,99.05%
CNC,38.16B,1.56B,91.58B,-,-,56600,1.53,23.17,11.56,1.69,0.67,2.86,5.73,0.96,39.10%,13.70%,23.10%,8.50%,4.90%,74.00%,0.60%,-9.49%,94.60%
CNP,11.40B,-624.00M,9.71B,0.60,2.88%,14262,1.85,-,15.47,-,2.17,-1.26,1.35,0.31,81.30%,-4.20%,-1.20%,-14.10%,5.40%,-30.00%,0.20%,1.87%,91.70%
CERN,22.52B,518.20M,5.61B,0.72,0.96%,27400,5.66,45.01,23.08,4.29,0.00,1.66,3.23,0.72,-12.70%,10.50%,1.90%,12.50%,8.90%,12.30%,0.10%,-39.24%,87.00%
CF,6.34B,378.00M,4.26B,1.20,4.10%,3000,2.19,16.78,18.95,-,0.00,1.75,1.55,0.08,70.00%,-5.21%,-16.30%,13.20%,12.50%,-30.50%,0.30%,-0.60%,95.20%
SCHW,73.18B,2.79B,10.61B,0.72,1.83%,21800,1.98,18.19,22.09,-,12.14,2.16,1.78,0.44,9.20%,-7.07%,22.70%,15.50%,1.50%,-27.70%,10.45%,-0.21%,60.40%
CHTR,130.50B,2.26B,46.65B,-,-,95100,4.44,60.42,32.54,1.21,2.67,10.49,19.48,3.04,42.70%,49.82%,43.10%,7.30%,5.50%,161.30%,0.20%,-50.16%,72.40%
